epoch,auc,learning_rate,loss,precision,recall,val_auc,val_loss,val_precision,val_recall
0,0.9946686625480652,0.0007999999797903001,0.14387460052967072,0.9146475195884705,0.9624383449554443,0.9992788434028625,0.698746383190155,0.9873536229133606,0.9809213876724243
1,0.9993133544921875,0.0007999999797903001,0.08395450562238693,0.977148175239563,0.9915013909339905,0.999737024307251,0.8034864068031311,0.9958041906356812,0.9939506649971008
2,0.9996614456176758,0.0007999999797903001,0.07344821095466614,0.9867736101150513,0.9941244125366211,0.9996582269668579,0.7836897969245911,0.9962581992149353,0.991158664226532
3,0.9998897910118103,0.0007999999797903001,0.06714372336864471,0.9901971220970154,0.9962228536605835,0.9993593692779541,0.7215378284454346,0.9990623593330383,0.9916239976882935
4,0.9999721050262451,0.00039999998989515007,0.06091238558292389,0.9950841665267944,0.9982163310050964,0.9997043609619141,0.6510830521583557,0.9962825179100037,0.9976733326911926
5,0.9999244809150696,0.00039999998989515007,0.06379424035549164,0.9898989796638489,0.9973769783973694,0.9998461604118347,0.8579258322715759,0.9953510165214539,0.9962773323059082
6,0.9999810457229614,0.00039999998989515007,0.058445896953344345,0.9947715401649475,0.9981114268302917,0.9998924732208252,0.9026812314987183,0.9981386661529541,0.9981386661529541
7,0.99996417760849,0.00039999998989515007,0.05751338228583336,0.9961264729499817,0.9983212947845459,0.9996206760406494,0.7221478819847107,1.0,0.9944159984588623
8,0.9999976754188538,0.00019999999494757503,0.05480556562542915,0.9982182383537292,0.9992655515670776,0.9995591044425964,0.6974474787712097,0.9995335936546326,0.9972079992294312
9,0.9999990463256836,0.00019999999494757503,0.05333739146590233,0.9990562200546265,0.9995803236961365,0.9995957612991333,0.6937705278396606,0.9995337724685669,0.9976733326911926
10,0.9999949932098389,9.999999747378752e-05,0.052949339151382446,0.998741865158081,0.9994754195213318,0.9996951222419739,0.6547629237174988,1.0,0.9981386661529541
