epoch,accuracy,auc,guard_esp32_auc,guard_public_auc,guard_safe,guard_umafall_auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5496453642845154,0.7303735017776489,0.6763392857142857,0.6934407552083334,1.0,0.9788250193182795,1.9999999494757503e-05,2.049502372741699,0.4644760191440582,0.9423423409461975,0.43478259444236755,0.6752232909202576,1.563956379890442,0.3333333432674408,0.8571428656578064
1,0.5659574270248413,0.7374448180198669,0.6785714285714286,0.7089301215277778,1.0,0.9792221172834207,1.9999999494757503e-05,1.7353912591934204,0.4735375940799713,0.9189189076423645,0.41304346919059753,0.6819196343421936,1.2518084049224854,0.3142857253551483,0.7857142686843872
2,0.5943262577056885,0.7614014148712158,0.6763392857142857,0.7210828993055556,1.0,0.9789538078475144,1.9999999494757503e-05,1.4990172386169434,0.4917874336242676,0.9171171188354492,0.5,0.6774553656578064,1.0250266790390015,0.3448275923728943,0.7142857313156128
3,0.6269503831863403,0.7712386250495911,0.671875,0.7341579861111112,1.0,0.9787928221859705,1.9999999494757503e-05,1.2577548027038574,0.5150259137153625,0.8954954743385315,0.5652173757553101,0.6729910373687744,0.8717682957649231,0.375,0.6428571343421936
4,0.6503546237945557,0.783936619758606,0.6674107142857143,0.7407769097222222,1.0,0.9784815832403193,9.999999747378752e-06,1.1309171915054321,0.5345211625099182,0.8648648858070374,0.6304348111152649,0.671875,0.819415271282196,0.42105263471603394,0.5714285969734192
5,0.6780141592025757,0.7857783436775208,0.6696428571428571,0.7446831597222223,1.0,0.9781703442946681,9.999999747378752e-06,1.0837088823318481,0.5594817399978638,0.8558558821678162,0.6739130616188049,0.6696428060531616,0.7788872122764587,0.47058823704719543,0.5714285969734192
6,0.673758864402771,0.78307044506073,0.671875,0.7469075520833334,1.0,0.9781059500300506,4.999999873689376e-06,1.0408421754837036,0.5578562617301941,0.8252252340316772,0.6739130616188049,0.6696428656578064,0.761355996131897,0.47058823704719543,0.5714285969734192
7,0.6900709271430969,0.7898803949356079,0.6741071428571429,0.7496202256944445,1.0,0.9779234996136343,4.999999873689376e-06,0.9993399381637573,0.5726600885391235,0.837837815284729,0.695652186870575,0.6729910969734192,0.7447277307510376,0.5,0.5714285969734192
8,0.7007092237472534,0.7894558310508728,0.6763392857142857,0.7510308159722222,1.0,0.9778376405941445,2.499999936844688e-06,1.0382308959960938,0.5832290649414062,0.8396396636962891,0.695652186870575,0.6741071343421936,0.7373988032341003,0.5,0.5714285969734192
9,0.6879432797431946,0.7854064702987671,0.6785714285714286,0.75244140625,1.0,0.9777410491972182,2.499999936844688e-06,0.9973896145820618,0.5710753798484802,0.8324324488639832,0.695652186870575,0.6785714626312256,0.7301592826843262,0.5,0.5714285969734192
10,0.695035457611084,0.7910658121109009,0.6808035714285715,0.753200954861111,1.0,0.9776659225551645,1.249999968422344e-06,0.9645712375640869,0.5790138840675354,0.8252252340316772,0.695652186870575,0.6796875,0.7267870903015137,0.5,0.5714285969734192
11,0.7035461068153381,0.7955102324485779,0.6808035714285715,0.7542860243055556,1.0,0.9776659225551645,1.249999968422344e-06,0.9492059350013733,0.5865992307662964,0.8360360264778137,0.695652186870575,0.6819196343421936,0.7234271764755249,0.5,0.5714285969734192
12,0.7106382846832275,0.7953237295150757,0.6808035714285715,0.7546657986111112,1.0,0.977644457800292,9.999999974752427e-07,0.9681932330131531,0.5931559205055237,0.8432432413101196,0.695652186870575,0.6785714626312256,0.720729410648346,0.5,0.5714285969734192
13,0.6992907524108887,0.7915126085281372,0.6808035714285715,0.7553168402777778,1.0,0.977644457800292,9.999999974752427e-07,0.9720504283905029,0.5834394693374634,0.8252252340316772,0.695652186870575,0.6819196343421936,0.7179556488990784,0.5,0.5714285969734192
14,0.7035461068153381,0.7844001650810242,0.6808035714285715,0.7559678819444444,1.0,0.9776337254228558,9.999999974752427e-07,1.0132842063903809,0.5893089771270752,0.8144144415855408,0.695652186870575,0.6819196939468384,0.7153202295303345,0.5,0.5714285969734192
15,0.6921985745429993,0.7932037115097046,0.6808035714285715,0.756564670138889,1.0,0.9775693311582383,9.999999974752427e-07,0.9599342942237854,0.5762925744056702,0.823423445224762,0.695652186870575,0.6841517686843872,0.7126543521881104,0.5,0.5714285969734192
16,0.7014184594154358,0.7894863486289978,0.6808035714285715,0.7569986979166667,1.0,0.9775264016484932,9.999999974752427e-07,0.9653846621513367,0.5876963138580322,0.8090090155601501,0.695652186870575,0.683035671710968,0.7100167274475098,0.5,0.5714285969734192
17,0.7007092237472534,0.7862241268157959,0.6808035714285715,0.7574327256944444,1.0,0.977515669271057,9.999999974752427e-07,0.9948533773422241,0.5847133994102478,0.8270270228385925,0.695652186870575,0.6796875,0.7075141668319702,0.5,0.5714285969734192
18,0.7049645185470581,0.8009240627288818,0.6808035714285715,0.75830078125,1.0,0.9774727397613119,9.999999974752427e-07,0.9155864715576172,0.5903770923614502,0.8180180191993713,0.695652186870575,0.6819196343421936,0.7050622701644897,0.5,0.5714285969734192
19,0.699999988079071,0.7888246774673462,0.6830357142857143,0.758572048611111,1.0,0.9774727397613119,9.999999974752427e-07,0.9892151951789856,0.5852712988853455,0.816216230392456,0.695652186870575,0.6808035373687744,0.7025195360183716,0.5,0.5714285969734192
