epoch,auc,learning_rate,loss,precision,recall,val_auc,val_loss,val_precision,val_recall
0,0.9717537760734558,2.9999999242136255e-05,0.3980773985385895,0.9506579041481018,0.8376811742782593,0.7868303656578064,0.9575908780097961,0.550000011920929,0.7857142686843872
1,0.9724897742271423,2.9999999242136255e-05,0.377760112285614,0.948387086391449,0.852173924446106,0.7957589030265808,0.9152542352676392,0.5789473652839661,0.7857142686843872
2,0.9793160557746887,2.9999999242136255e-05,0.3354831337928772,0.9672130942344666,0.8550724387168884,0.8002232909202576,0.8843585252761841,0.5789473652839661,0.7857142686843872
3,0.9759419560432434,2.9999999242136255e-05,0.32684051990509033,0.9614148139953613,0.8666666746139526,0.8046874403953552,0.8548696041107178,0.6111111044883728,0.7857142686843872
4,0.9797621965408325,2.9999999242136255e-05,0.315948486328125,0.9532710313796997,0.886956512928009,0.808035671710968,0.8298406004905701,0.6111111044883728,0.7857142686843872
5,0.9823155999183655,2.9999999242136255e-05,0.2827374339103699,0.9593750238418579,0.8898550868034363,0.808035671710968,0.8057491183280945,0.6111111044883728,0.7857142686843872
6,0.9829766750335693,2.9999999242136255e-05,0.2860768735408783,0.9439252614974976,0.8782608509063721,0.8158482909202576,0.7821179032325745,0.6111111044883728,0.7857142686843872
7,0.9892069101333618,2.9999999242136255e-05,0.23063021898269653,0.957317054271698,0.9101449251174927,0.8158482313156128,0.7654798626899719,0.6111111044883728,0.7857142686843872
8,0.9885035157203674,2.9999999242136255e-05,0.23951953649520874,0.9693251252174377,0.9159420132637024,0.816964328289032,0.7498565912246704,0.6111111044883728,0.7857142686843872
9,0.9888421893119812,2.9999999242136255e-05,0.2385650873184204,0.9694189429283142,0.9188405871391296,0.8225445747375488,0.7369020581245422,0.6111111044883728,0.7857142686843872
10,0.9880801439285278,2.9999999242136255e-05,0.21712611615657806,0.9693251252174377,0.9159420132637024,0.8225446939468384,0.7257675528526306,0.6111111044883728,0.7857142686843872
11,0.9884285926818848,2.9999999242136255e-05,0.2145840972661972,0.9697884917259216,0.9304347634315491,0.8270089030265808,0.717197060585022,0.6111111044883728,0.7857142686843872
