epoch,auc,learning_rate,loss,precision,recall,val_auc,val_loss,val_precision,val_recall
0,0.994146466255188,9.999999747378752e-05,0.14017291367053986,0.8127036094665527,0.9670542478561401,1.0,8.972010612487793,0.9661017060279846,1.0
1,0.9993981122970581,9.999999747378752e-05,0.084757961332798,0.9033392071723938,0.9961240291595459,1.0,8.027922630310059,0.9344262480735779,1.0
2,0.9994848966598511,9.999999747378752e-05,0.07985132932662964,0.9431192874908447,0.9961240291595459,0.9999999403953552,7.466987133026123,0.949999988079071,1.0
3,0.9998469352722168,4.999999873689376e-05,0.07167191803455353,0.977142870426178,0.9941860437393188,1.0,7.030215740203857,0.9344262480735779,1.0
4,0.999870777130127,4.999999873689376e-05,0.07129094749689102,0.9643527269363403,0.9961240291595459,1.0,6.825283527374268,0.9344262480735779,1.0
5,0.999930739402771,2.499999936844688e-05,0.06899701058864594,0.9591078162193298,1.0,0.9999999403953552,6.6260528564453125,0.949999988079071,1.0
