epoch,auc,learning_rate,loss,precision,recall,val_auc,val_loss,val_precision,val_recall
0,0.9961026906967163,0.0007999999797903001,0.13087499141693115,0.9263908267021179,0.9678942561149597,0.9984934329986572,0.47455647587776184,0.9437500238418579,0.9837133288383484
1,0.9988604187965393,0.0007999999797903001,0.09367750585079193,0.9630427956581116,0.9842618703842163,0.9988222122192383,0.25451070070266724,0.9740620851516724,0.9785947203636169
2,0.9993795156478882,0.0007999999797903001,0.08267340809106827,0.9743615984916687,0.9888783693313599,0.9991901516914368,0.2543730139732361,0.9722991585731506,0.9799907207489014
3,0.9995608329772949,0.0007999999797903001,0.0750555768609047,0.9791817665100098,0.9919211268424988,0.9991115927696228,0.4106539487838745,0.9701424241065979,0.9827826619148254
4,0.9996588826179504,0.0007999999797903001,0.070648692548275,0.9834702014923096,0.9925506114959717,0.9992614984512329,0.26484614610671997,0.9900473952293396,0.9720800518989563
5,0.9998077750205994,0.00039999998989515007,0.0663486048579216,0.9879103899002075,0.9945441484451294,0.9994314908981323,0.2804976999759674,0.991521418094635,0.9795253872871399
6,0.9998624324798584,0.00039999998989515007,0.06567275524139404,0.9861487150192261,0.9934949278831482,0.9995107650756836,0.2912420630455017,0.9911048412322998,0.9851093292236328
7,0.9999217987060547,0.00039999998989515007,0.06133359298110008,0.9912335872650146,0.9965376257896423,0.9994899034500122,0.24439077079296112,0.9892473220825195,0.9846439957618713
8,0.9999135732650757,0.00019999999494757503,0.060590989887714386,0.9913306832313538,0.99580317735672,0.9995658993721008,0.29444754123687744,0.9911131858825684,0.9860399961471558
9,0.9999046921730042,0.00019999999494757503,0.05930967628955841,0.9906142354011536,0.996642529964447,0.9996253848075867,0.291036456823349,0.9906716346740723,0.9883666634559631
10,0.9999182224273682,0.00019999999494757503,0.05869639664888382,0.9912317395210266,0.9963277578353882,0.9995675683021545,0.32253360748291016,0.9938880801200867,0.9837133288383484
11,0.99993497133255,9.999999747378752e-05,0.057193826884031296,0.9932093620300293,0.9974818825721741,0.9995832443237305,0.3113226890563965,0.9920486211776733,0.9869706630706787
12,0.9999299645423889,9.999999747378752e-05,0.05659536272287369,0.9935207366943359,0.9974818825721741,0.9995867013931274,0.3120401203632355,0.9938938617706299,0.9846439957618713
13,0.9999799132347107,4.999999873689376e-05,0.055545199662446976,0.9933173060417175,0.9981114268302917,0.9996036291122437,0.31328269839286804,0.9938938617706299,0.9846439957618713
