epoch,auc,learning_rate,loss,precision,recall,val_auc,val_loss,val_precision,val_recall
0,0.9967539310455322,9.999999747378752e-05,0.1266704946756363,0.8322368264198303,0.9806201457977295,0.9770756959915161,280.0726318359375,0.75,1.0
1,0.9989521503448486,9.999999747378752e-05,0.09853733330965042,0.9078013896942139,0.9922480583190918,0.9773188829421997,204.85447692871094,0.75,1.0
2,0.9994310736656189,9.999999747378752e-05,0.09032716602087021,0.9226618409156799,0.9941860437393188,0.9771041870117188,180.55699157714844,0.75,1.0
3,0.9997428059577942,9.999999747378752e-05,0.0812288150191307,0.9430146813392639,0.9941860437393188,0.9771614670753479,169.95216369628906,0.7307692170143127,1.0
4,0.9998611807823181,4.999999873689376e-05,0.07897121459245682,0.9519408345222473,0.998062014579773,0.977333128452301,161.06549072265625,0.7402597665786743,1.0
5,0.9996557235717773,4.999999873689376e-05,0.07788132131099701,0.9572490453720093,0.998062014579773,0.9780486226081848,152.9461212158203,0.7402597665786743,1.0
6,0.9993941187858582,4.999999873689376e-05,0.07985987514257431,0.9572490453720093,0.998062014579773,0.9785781502723694,155.10641479492188,0.7402597665786743,1.0
7,0.9996622204780579,4.999999873689376e-05,0.08030328899621964,0.9642184376716614,0.9922480583190918,0.9787642359733582,153.8110809326172,0.7402597665786743,1.0
8,0.9998953938484192,4.999999873689376e-05,0.07444316893815994,0.9591078162193298,1.0,0.9792077541351318,153.19271850585938,0.7402597665786743,1.0
9,0.9999350309371948,4.999999873689376e-05,0.07246083766222,0.969924807548523,1.0,0.9789645075798035,147.43136596679688,0.7402597665786743,1.0
10,0.9995263814926147,4.999999873689376e-05,0.0759129524230957,0.9771863222122192,0.9961240291595459,0.9796513915061951,151.60707092285156,0.7402597665786743,1.0
11,0.9999346733093262,4.999999873689376e-05,0.07373527437448502,0.9752851724624634,0.9941860437393188,0.9805386662483215,156.4377899169922,0.7307692170143127,1.0
