epoch,auc,learning_rate,loss,precision,recall,val_auc,val_loss,val_precision,val_recall

0,0.9949817657470703,0.0007999999797903001,0.14282196760177612,0.9158381223678589,0.9567726254463196,0.9984721541404724,0.7715641260147095,0.9569990634918213,0.9734760522842407

1,0.9987099766731262,0.0007999999797903001,0.09561280161142349,0.9581162333488464,0.9840520620346069,0.9989441633224487,0.6701866984367371,0.9737212657928467,0.9655653834342957

2,0.9993175268173218,0.0007999999797903001,0.0860212966799736,0.9696969985961914,0.9870947599411011,0.9988823533058167,0.7585120797157288,0.9800556302070618,0.9832479953765869

3,0.9994379878044128,0.0007999999797903001,0.07814901322126389,0.9773268699645996,0.990452229976654,0.9994903802871704,0.8655090928077698,0.9846153855323792,0.9827826619148254

4,0.9996858835220337,0.0007999999797903001,0.07270870357751846,0.9823266267776489,0.9913964867591858,0.9993711113929749,0.9164372086524963,0.9910504221916199,0.9790600538253784

5,0.9998689293861389,0.0007999999797903001,0.06609620153903961,0.9866777658462524,0.9946490526199341,0.9995090961456299,0.9928707480430603,0.9840973019599915,0.9790600538253784

6,0.9998700618743896,0.00039999998989515007,0.06387189030647278,0.9885285496711731,0.9945441484451294,0.9996688961982727,1.1692124605178833,0.9948088526725769,0.9809213876724243

7,0.9998294711112976,0.00039999998989515007,0.06353059411048889,0.9901817440986633,0.9946490526199341,0.9997785687446594,1.2258249521255493,0.99528968334198,0.9832479953765869

8,0.9998704195022583,0.00039999998989515007,0.062019653618335724,0.9888483881950378,0.9954884052276611,0.9995353817939758,1.271479606628418,0.9915691018104553,0.9851093292236328

9,0.999882161617279,0.00039999998989515007,0.05930599570274353,0.992681622505188,0.9962228536605835,0.9997678995132446,1.1466312408447266,0.9883720874786377,0.9888319969177246

10,0.9999297261238098,0.00019999999494757503,0.0579477958381176,0.9929953217506409,0.9965376257896423,0.9997792840003967,1.1569050550460815,0.9939053058624268,0.9865053296089172

11,0.9999451041221619,0.00019999999494757503,0.05702662840485573,0.9925864338874817,0.9973769783973694,0.9997266530990601,1.0506408214569092,0.9943609237670898,0.9846439957618713

12,0.9999726414680481,9.999999747378752e-05,0.055763449519872665,0.9948739409446716,0.9977966547012329,0.999770998954773,1.202422857284546,0.993424117565155,0.9841786623001099

