epoch,auc,learning_rate,loss,precision,recall,val_auc,val_loss,val_precision,val_recall
0,0.9865005612373352,2.9999999242136255e-05,0.29576146602630615,0.9748427867889404,0.8985507488250732,0.8370535969734192,0.9130714535713196,0.523809552192688,0.7857142686843872
1,0.9833285212516785,2.9999999242136255e-05,0.31544220447540283,0.9622641801834106,0.886956512928009,0.8370535969734192,0.8819103240966797,0.523809552192688,0.7857142686843872
2,0.984077513217926,2.9999999242136255e-05,0.3006870448589325,0.9588607549667358,0.8782608509063721,0.8370535969734192,0.8639964461326599,0.550000011920929,0.7857142686843872
3,0.9846572279930115,1.4999999621068127e-05,0.2919836938381195,0.9570552110671997,0.904347836971283,0.8370535969734192,0.8456267714500427,0.5789473652839661,0.7857142686843872
4,0.9868881702423096,1.4999999621068127e-05,0.2669510841369629,0.9690402746200562,0.9072463512420654,0.8348214030265808,0.8211126923561096,0.5789473652839661,0.7857142686843872
5,0.9867904186248779,7.499999810534064e-06,0.267400860786438,0.954954981803894,0.9217391014099121,0.8392857313156128,0.7988283634185791,0.5789473652839661,0.7857142686843872
6,0.9861389994621277,7.499999810534064e-06,0.27623510360717773,0.971875011920929,0.9014492630958557,0.8370535969734192,0.7825834155082703,0.5789473652839661,0.7857142686843872
7,0.9862010478973389,7.499999810534064e-06,0.2612092196941376,0.9665653705596924,0.9217391014099121,0.8370535373687744,0.7703823447227478,0.5555555820465088,0.7142857313156128
8,0.9879921674728394,3.749999905267032e-06,0.24971742928028107,0.9655172228813171,0.8927536010742188,0.8392857909202576,0.7589824795722961,0.5882353186607361,0.7142857313156128
9,0.9854779243469238,3.749999905267032e-06,0.27584677934646606,0.9601227045059204,0.9072463512420654,0.8392857313156128,0.7499067187309265,0.5882353186607361,0.7142857313156128
10,0.9846572875976562,1.874999952633516e-06,0.2759030759334564,0.9604862928390503,0.9159420132637024,0.8381696343421936,0.741079568862915,0.7142857313156128,0.7142857313156128
