epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8738404512405396,0.9083247184753418,9.999999747378752e-05,0.5200409889221191,0.7858126759529114,0.8304221034049988,0.943790853023529,0.960397481918335,0.5999925136566162,0.7914438247680664,0.9736841917037964
1,0.9300788640975952,0.9628776907920837,9.999999747378752e-05,0.28705936670303345,0.8777738809585571,0.9068413376808167,0.94248366355896,0.9678403735160828,0.5546075701713562,0.7842105031013489,0.9802631735801697
2,0.9408627152442932,0.9692479968070984,9.999999747378752e-05,0.24973496794700623,0.8968085050582886,0.9203056693077087,0.9372549057006836,0.9761795401573181,0.5271815657615662,0.7680412530899048,0.9802631735801697
3,0.9475881457328796,0.9763485193252563,9.999999747378752e-05,0.21840088069438934,0.9073811173439026,0.9304949045181274,0.9372549057006836,0.9776015281677246,0.5349748134613037,0.7680412530899048,0.9802631735801697
4,0.954081654548645,0.9806566834449768,9.999999747378752e-05,0.20204836130142212,0.9206008315086365,0.9366812109947205,0.9398692846298218,0.9781219959259033,0.5546087026596069,0.7731958627700806,0.9868420958518982
5,0.9543135166168213,0.9820098876953125,9.999999747378752e-05,0.1945345103740692,0.921561598777771,0.9363173246383667,0.9411764740943909,0.9780630469322205,0.5404369235038757,0.7772020697593689,0.9868420958518982
6,0.9570964574813843,0.984908401966095,9.999999747378752e-05,0.18338443338871002,0.9258595705032349,0.9406841397285461,0.94248366355896,0.9778269529342651,0.5680073499679565,0.78125,0.9868420958518982
7,0.959067702293396,0.9869095087051392,9.999999747378752e-05,0.17539851367473602,0.9287504553794861,0.9439592361450195,0.9411764740943909,0.9787284135818481,0.5848818421363831,0.7772020697593689,0.9868420958518982
8,0.9606910943984985,0.9859957695007324,9.999999747378752e-05,0.17636340856552124,0.9356238842010498,0.9414119124412537,0.94248366355896,0.9791309237480164,0.5887610912322998,0.78125,0.9868420958518982
9,0.9627782702445984,0.9880485534667969,9.999999747378752e-05,0.16889017820358276,0.9376127123832703,0.9461426734924316,0.9411764740943909,0.9789162874221802,0.5773442387580872,0.7772020697593689,0.9868420958518982
10,0.9625464081764221,0.9888538122177124,9.999999747378752e-05,0.1643383651971817,0.9356809258460999,0.9475982785224915,0.9411764740943909,0.9786640405654907,0.6164557337760925,0.7772020697593689,0.9868420958518982
11,0.9644016623497009,0.9887909889221191,9.999999747378752e-05,0.16398946940898895,0.9420499801635742,0.9465065598487854,0.9398692846298218,0.9806119799613953,0.6104775071144104,0.7731958627700806,0.9868420958518982
12,0.9649814367294312,0.9897987842559814,9.999999747378752e-05,0.15987899899482727,0.9405619502067566,0.9501455426216125,0.9372549057006836,0.9795709252357483,0.6578980088233948,0.7653061151504517,0.9868420958518982
13,0.9664888978004456,0.9894241690635681,9.999999747378752e-05,0.15924568474292755,0.945955753326416,0.9490538835525513,0.9385620951652527,0.9801504611968994,0.6646521091461182,0.7692307829856873,0.9868420958518982
14,0.9677643775939941,0.9907481074333191,9.999999747378752e-05,0.1526903212070465,0.9464931488037109,0.9526928663253784,0.9411764740943909,0.980279266834259,0.6865170001983643,0.7772020697593689,0.9868420958518982
15,0.967300534248352,0.9911628365516663,4.999999873689376e-05,0.15277163684368134,0.9454479813575745,0.9523289799690247,0.9411764740943909,0.9802471399307251,0.665229856967926,0.7772020697593689,0.9868420958518982
16,0.9664888978004456,0.9914270639419556,4.999999873689376e-05,0.15178459882736206,0.9437026381492615,0.9516011476516724,0.94248366355896,0.9799572825431824,0.6708807349205017,0.78125,0.9868420958518982
17,0.9682282209396362,0.9913604259490967,4.999999873689376e-05,0.15086106956005096,0.9478638768196106,0.9526928663253784,0.943790853023529,0.9794368147850037,0.6763591170310974,0.7853403091430664,0.9868420958518982
18,0.9679962992668152,0.9917954802513123,2.499999936844688e-05,0.14943911135196686,0.9481508135795593,0.9516011476516724,0.943790853023529,0.9791792631149292,0.6920915842056274,0.7853403091430664,0.9868420958518982
19,0.9682282209396362,0.9922633767127991,2.499999936844688e-05,0.14715589582920074,0.9443247318267822,0.9566957950592041,0.943790853023529,0.9794153571128845,0.7004693150520325,0.7853403091430664,0.9868420958518982
