epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.8035791516304016,0.8807840943336487,0.0010000000474974513,0.44903525710105896,0.7392830848693848,0.7483127117156982,0.8382511734962463,0.9144172668457031,0.4442942440509796,0.7530106902122498,0.8233540654182434
1,0.8489158153533936,0.9254067540168762,0.0010000000474974513,0.36799606680870056,0.798076331615448,0.80780029296875,0.8491363525390625,0.9160057306289673,0.4023872911930084,0.7789924144744873,0.8144099116325378
2,0.8663337230682373,0.9400474429130554,0.0010000000474974513,0.33625954389572144,0.8207277059555054,0.8305560350418091,0.8774738907814026,0.9266253709793091,0.3612477481365204,0.8504869937896729,0.8027329444885254
3,0.8819426894187927,0.9505857229232788,0.0010000000474974513,0.31125107407569885,0.8416772484779358,0.8499969840049744,0.8837711215019226,0.933926522731781,0.35556408762931824,0.8658634424209595,0.8034782409667969
4,0.8920794725418091,0.9578981399536133,0.0010000000474974513,0.2922901213169098,0.8546937704086304,0.8635250329971313,0.8858402371406555,0.9366602301597595,0.3517698347568512,0.8630136847496033,0.8139130473136902
5,0.900839626789093,0.9632411003112793,0.0010000000474974513,0.2768263816833496,0.8670499920845032,0.8736785650253296,0.8906980752944946,0.9380474090576172,0.37754079699516296,0.9035037159919739,0.7816148996353149
6,0.9054927229881287,0.9668387174606323,0.0010000000474974513,0.2660162150859833,0.8738086223602295,0.8788449168205261,0.8823317885398865,0.9383798837661743,0.3721473515033722,0.8368459939956665,0.8385093212127686
7,0.9117613434791565,0.9701936841011047,0.0010000000474974513,0.2552269995212555,0.8823634386062622,0.8865794539451599,0.8888089060783386,0.9427072405815125,0.3473467230796814,0.8527700304985046,0.8375155329704285
8,0.9151971340179443,0.9724398851394653,0.0010000000474974513,0.2471648007631302,0.8870814442634583,0.8907901644706726,0.8921374678611755,0.9443462491035461,0.3406733274459839,0.863612949848175,0.8337888121604919
9,0.9196910262107849,0.9752628207206726,0.0010000000474974513,0.23722095787525177,0.8911749720573425,0.8989726901054382,0.8736056089401245,0.9480242729187012,0.3743445873260498,0.7988138794898987,0.8700621128082275
10,0.9210789799690247,0.9765273928642273,0.0010000000474974513,0.23279431462287903,0.8923072218894958,0.9016603827476501,0.8938466906547546,0.9496240615844727,0.35049885511398315,0.8622357845306396,0.841242253780365
11,0.9243782758712769,0.9781426191329956,0.0010000000474974513,0.22656045854091644,0.8967331647872925,0.9058113694190979,0.8810723423957825,0.9513632655143738,0.374026894569397,0.805976927280426,0.8844720721244812
12,0.9277002811431885,0.9793755412101746,0.0010000000474974513,0.22137966752052307,0.9006704688072205,0.9106492400169373,0.8924973011016846,0.9502403140068054,0.3882215917110443,0.8406355381011963,0.8675776124000549
13,0.9295774698257446,0.9804226160049438,0.0010000000474974513,0.21740932762622833,0.9029762744903564,0.9132772088050842,0.8979848623275757,0.9496737718582153,0.3753557503223419,0.8692209720611572,0.8454658389091492
14,0.9304080009460449,0.9809094071388245,0.0010000000474974513,0.21530397236347198,0.904495894908905,0.9138147234916687,0.8675782680511475,0.9496690630912781,0.4115111827850342,0.7698161005973816,0.9048447012901306
15,0.9370747804641724,0.9842566847801208,0.0005000000237487257,0.19995971024036407,0.9128880500793457,0.9228931665420532,0.8975350856781006,0.9534870386123657,0.35394197702407837,0.8507535457611084,0.8695651888847351
16,0.9392477869987488,0.9848955869674683,0.0005000000237487257,0.19683527946472168,0.9152307510375977,0.9263274073600769,0.8988844752311707,0.9543353915214539,0.3260429799556732,0.8554275631904602,0.8673291802406311
17,0.9392591118812561,0.985222339630127,0.0005000000237487257,0.1953018754720688,0.914866030216217,0.9268052577972412,0.8941165804862976,0.954660952091217,0.32716652750968933,0.8310088515281677,0.888198733329773
18,0.9398621320724487,0.9855449199676514,0.0005000000237487257,0.19357118010520935,0.9151943325996399,0.9281491041183472,0.8853004574775696,0.9525020122528076,0.34572574496269226,0.8155117034912109,0.8829813599586487
19,0.9409998059272766,0.9861193895339966,0.0005000000237487257,0.19068393111228943,0.9165685176849365,0.9297617077827454,0.8920475244522095,0.9528598785400391,0.3288244605064392,0.8351126909255981,0.8745341897010803
20,0.9415799975395203,0.9859817028045654,0.0005000000237487257,0.1909417062997818,0.9174298644065857,0.9303888082504272,0.9057214856147766,0.9559396505355835,0.30901002883911133,0.8722180724143982,0.8665838241577148
21,0.9404082298278809,0.9862329363822937,0.0005000000237487257,0.1894885003566742,0.9163424372673035,0.928328275680542,0.8922274112701416,0.9531496167182922,0.3365912139415741,0.8242716193199158,0.8926708102226257
22,0.9425129294395447,0.9865244626998901,0.0005000000237487257,0.18783025443553925,0.9181938767433167,0.9321507215499878,0.8907880783081055,0.9538975954055786,0.33384621143341064,0.8240719437599182,0.8879503011703491
23,0.9439805150032043,0.987040102481842,0.0005000000237487257,0.18531613051891327,0.9202519059181213,0.9338828325271606,0.8865599036216736,0.9545117616653442,0.3427788019180298,0.813236653804779,0.8914285898208618
24,0.9460397362709045,0.9883768558502197,0.0002500000118743628,0.17825894057750702,0.9227533340454102,0.9367795586585999,0.9075207114219666,0.9563847184181213,0.32810646295547485,0.8722981214523315,0.8722981214523315
25,0.9470750093460083,0.9888293743133545,0.0002500000118743628,0.17566880583763123,0.9237552285194397,0.9385414719581604,0.9073407649993896,0.9554176926612854,0.326999306678772,0.8737210035324097,0.8698136806488037
26,0.9467564821243286,0.9886166453361511,0.0002500000118743628,0.17650048434734344,0.9239917397499084,0.9373469352722168,0.9042820930480957,0.9573357701301575,0.32567936182022095,0.8587351441383362,0.8804969191551208
27,0.9485085010528564,0.9889932870864868,0.0002500000118743628,0.1741909235715866,0.9268112778663635,0.9389894008636475,0.8987045884132385,0.9561872482299805,0.33763670921325684,0.8488568067550659,0.8762732744216919
28,0.9475756287574768,0.9890572428703308,0.0002500000118743628,0.17401619255542755,0.9255275130271912,0.9378546476364136,0.9097697138786316,0.9541029334068298,0.3402338922023773,0.8890319466590881,0.8578882217407227
29,0.9482696056365967,0.9890050292015076,0.0002500000118743628,0.17379523813724518,0.9259368181228638,0.9393478035926819,0.9097697138786316,0.9552449584007263,0.33039775490760803,0.8775612115859985,0.8725466132164001
30,0.9513185620307922,0.9900156259536743,0.0001250000059371814,0.16838045418262482,0.9306419491767883,0.9424535632133484,0.9080604314804077,0.9553250074386597,0.334013968706131,0.86919105052948,0.8782608509063721
31,0.949964702129364,0.9898803234100342,0.0001250000059371814,0.16881155967712402,0.9284451603889465,0.9411993026733398,0.9086002111434937,0.9551096558570862,0.3260147273540497,0.8736031651496887,0.8740372657775879
32,0.9503970742225647,0.9900906085968018,0.0001250000059371814,0.16782893240451813,0.9282479286193848,0.9426625967025757,0.9070708751678467,0.9550564289093018,0.33395224809646606,0.8677482604980469,0.8770186305046082
